park,summit,aspect,transition,sciname,slope,sitelat,siteelev,site.probD,site.s.probD,family,genus,species,perenneating,leaves,habit,taxunit,startyear,startcover,endyear,endcover,changecover,propchangecover,latmin1090,latmax1090,latmean1090,latmedian1090,latrange1090,min.tmean,mean.tmean,max.tmean,min.snowdays,mean.snowdays,max.snowdays,min.wy.ppt,mean.wy.ppt,max.wy.ppt,min.pet,mean.pet,max.pet,min.aet,mean.aet,max.aet,min.cwd,mean.cwd,max.cwd,min.gs.ppt,mean.gs.ppt,max.gs.ppt,min.gdd,mean.gdd,max.gdd,start.lower,start.upper,end.lower,end.upper,startcover0,endcover0,allcover0,expanded,contracted,nochange,no0,climPC1,climPC2
GNP,BSN,E,BSN1,Achillea millefolium,19,48.465154,2387,1.3627691822534046e-6,0.01346713041338484,Asteraceae,Achillea,millefolium,below,D,forb,dicot,2003,0.125,2009,0.625,0.5,2.2222222222222223,32.9799,47.0327,39.88231753353842,40.13694444,31.954369999999997,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,300,400,600,200,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Minuartia nuttallii,19,48.465154,2387,3.287706330847892e-5,0.5398813475200405,Caryophyllaceae,Minuartia,nuttallii,above,D,forb,dicot,2003,0,2009,0,0,0,37.4198,46.460755,42.61417379361702,42.3413,10.177421699999996,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Minuartia obtusiloba,19,48.465154,2387,5.122406874733128e-5,0.5302131273877279,Caryophyllaceae,Minuartia,obtusiloba,above,D,forb,dicot,2003,0.525,2009,0.7,0.17499999999999993,0.2799999999999999,37.4,64.767822,44.971697631589016,45.4287105,31.39146599999999,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,100,400,600,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Minuartia rubella,19,48.465154,2387,2.4716296774654095e-5,0.49536928073786,Caryophyllaceae,Minuartia,rubella,above,D,forb,dicot,2003,0,2009,0,0,0,37.556132,68.878259,53.80120925554676,55.71,34.779119,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Minuartia austromontana,19,48.465154,2387,1.7086861082724002e-4,0.8853781701357244,Caryophyllaceae,Minuartia,austromontana,above,D,forb,dicot,2003,0,2009,0,0,0,44.135533,56.9,47.788831450000004,47.6131,13.5229,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,100,0,0,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Oxytropis sericea,19,48.465154,2387,1.759483853175341e-6,0.02817248584572893,Fabaceae,Oxytropis,sericea,below,D,forb,dicot,2003,0.925,2009,0.725,-0.20000000000000007,-0.19512195121951223,36.670437,46.548448,41.72486296795514,41.711,13.932434,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,100,400,400,0,0,0,0,1,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Agoseris glauca,19,48.465154,2387,3.624303793126584e-6,0.06098648253021876,Asteraceae,Agoseris,glauca,below,D,forb,dicot,2003,0.2025,2009,0.175,-0.027500000000000024,-0.090909090909091,37.01443,47.47307,41.83594953706731,41.881845,15.569188,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,200,600,200,0,0,0,0,1,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Agrostis variabilis,19,48.465154,2387,1.910531038894148e-5,0.24642828442450224,Poaceae,Agrostis,variabilis,below,D,gram,monocot,2003,0,2009,0,0,0,37.4419,47.176973,41.317807773635366,40.4628,16.193642999999998,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,100,100,0,0,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Myosotis asiatica,19,48.465154,2387,3.423895630411083e-5,0.21384306274154916,Boraginaceae,Myosotis,asiatica,below,D,forb,dicot,2003,0,2009,0,0,0,40.3251,59.6,46.247607703125,45.052617,20.561052000000004,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,100,100,0,0,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Mertensia oblongifolia,19,48.465154,2387,5.951508546423666e-6,0.05271004781634806,Boraginaceae,Mertensia,oblongifolia,below,D,forb,dicot,2003,0.2,2009,0.3,0.09999999999999998,0.3333333333333332,39.32358,46.931589,43.84378429534884,43.9611335,11.76180411,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,300,200,400,200,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
