park,summit,aspect,startyear,start.plantCover,start.meanCover,endyear,end.plantCover,end.meanCover,transition,change.cover,transNum,min.tmean,mean.tmean,max.tmean,sitelat,sitelong,siteelev,climPC1,climPC2,min.gdd,mean.gdd,max.gdd,min.snowdays,mean.snowdays,max.snowdays,min.aet,mean.aet,max.aet,min.pet,mean.pet,max.pet,min.gs.ppt,mean.gs.ppt,max.gs.ppt,min.wy.ppt,mean.wy.ppt,max.wy.ppt
GNP,BSN,E,2003,37.129999999999995,9.2825,2009,43.7,10.925,BSN1,6.57,1,11.746,13.912857142857142,15.7,48.465154,-113.311013,2387,1.305870104244535,3.1268296773432582,198,213,238,200,211.1428571428571,234,0.7997824441135878,0.9155180780632698,1.0249157857855296,1.0890155429317565,1.177694665270877,1.2760510447919546,152.98999999999998,243.68571428571423,348.88999999999993,998.0699999999996,1135.4171428571424,1345.039999999999
GNP,BSN,E,2009,43.7,10.925,2014,40.370000000000005,10.0925,BSN2,-3.329999999999991,2,12.786,14.955166666666667,17.648,48.465154,-113.311013,2387,1.6999470154403775,3.645764785636213,198,207.33333333333337,220,207,222.66666666666663,230,0.8954542766745134,1.016864462187866,1.1034239135548138,1.0687603355998805,1.1640858789910036,1.2684763035057025,196.99999999999997,255.81833333333333,336.32,1028.0899999999997,1259.5833333333333,1444.9199999999998
GNP,BSN,E,2014,40.370000000000005,10.0925,2019,35.690999999999995,8.92275,BSN3,-4.679000000000009,3,11.465,13.4595,15.365,48.465154,-113.311013,2387,0.953159629378111,2.823286951000328,189,217,245,183,211.16666666666663,227,0.6555143877760583,0.9009355873131428,1.063252084962255,1.1456235623778277,1.1979216808746271,1.2898940777015253,126.33,210.84333333333333,301.1700000000001,1025.4100000000003,1200.4066666666663,1316.3899999999994
GNP,BSN,N,2003,178.475,44.618750000000006,2009,131.81,32.9525,BSN1,-46.66499999999999,1,10.045,13.178857142857142,15.452,48.465154,-113.311013,2387,0.13132167951110155,1.8777321159864944,198,213,238,200,211.1428571428571,234,0.9665257368612968,1.1525310690520638,1.3762499238354893,1.5554635641159362,1.6821258001065622,1.8226102639292996,152.98999999999998,243.68571428571423,348.88999999999993,998.0699999999996,1135.4171428571424,1345.039999999999
GNP,BSN,N,2009,131.81,32.9525,2014,126.3,31.575000000000003,BSN2,-5.509999999999991,2,9.961,13.1575,14.65,48.465154,-113.311013,2387,0.6391239825440296,1.4955361399109912,198,207.33333333333337,220,207,222.66666666666663,230,1.08979981596928,1.2944466860961332,1.3762499238354893,1.5265326299407194,1.6626880874425192,1.8117911033077252,196.99999999999997,255.81833333333333,336.32,1028.0899999999997,1259.5833333333333,1444.9199999999998
GNP,BSN,N,2014,126.3,31.575000000000003,2019,116.9,29.225,BSN3,-9.400000000000006,3,10.615,12.399833333333333,13.963,48.465154,-113.311013,2387,-0.2366090276524059,1.4907427392753994,189,217,245,183,211.16666666666663,227,0.7655879677122652,1.1411319387941825,1.4346848473961529,1.6363179763937308,1.7110164674497823,1.842382555929584,126.33,210.84333333333333,301.1700000000001,1025.4100000000003,1200.4066666666663,1316.3899999999994
GNP,BSN,S,2003,53.28,13.32,2009,53.31999999999999,13.329999999999998,BSN1,0.03999999999999204,1,10.251,12.350285714285715,15.136,48.465154,-113.311013,2387,-0.6364215346559203,1.2546828937879404,198,213,238,200,211.1428571428571,234,1.0540835391940448,1.2783835688845664,1.5746384314292972,1.855481819227444,2.0065747033586634,2.1741558505616565,152.98999999999998,243.68571428571423,348.88999999999993,998.0699999999996,1135.4171428571424,1345.039999999999
GNP,BSN,S,2009,53.31999999999999,13.329999999999998,2014,49.510000000000005,12.3775,BSN2,-3.809999999999988,2,12.089,14.6015,17.347,48.465154,-113.311013,2387,-0.3034092315584183,2.2151864722804904,198,207.33333333333337,220,207,222.66666666666663,230,1.1460247329377935,1.431102177059862,1.5746384314292972,1.8209706782314217,1.9833878391417588,2.161249887159008,196.99999999999997,255.81833333333333,336.32,1028.0899999999997,1259.5833333333333,1444.9199999999998
GNP,BSN,S,2014,49.510000000000005,12.3775,2019,59.300999999999995,14.82525,BSN3,9.79099999999999,3,10.449,12.295666666666666,13.905,48.465154,-113.311013,2387,-0.9911656538174032,0.9987969175156268,189,217,245,183,211.16666666666663,227,0.820805864388214,1.267438403592362,1.6481518099511423,1.9519314535658965,2.041037810844669,2.1977418278724365,126.33,210.84333333333333,301.1700000000001,1025.4100000000003,1200.4066666666663,1316.3899999999994
GNP,BSN,W,2003,42.49,10.6225,2009,53.89999999999999,13.474999999999998,BSN1,11.40999999999999,1,10.53,11.855714285714285,13.186,48.465154,-113.311013,2387,-0.6860309084548742,0.8383995451364311,198,213,238,200,211.1428571428571,234,1.060238139736725,1.287282143157028,1.5886981193289618,1.8779628055258475,2.0308863284823797,2.200497886026828,152.98999999999998,243.68571428571423,348.88999999999993,998.0699999999996,1135.4171428571424,1345.039999999999
